행정동,지하철역
가락1동,"가락시장, 송파"
가락2동,"개롱, 경찰병원"
가락본동,오금
가산동,"가산디지털단지, 독산"
가양1동,"마곡, 마곡나루, 양천향교"
갈현2동,구산
강일동,강일
개봉1동,개봉
개포2동,"개포동, 구룡, 대모산입구"
개포3동,대청
거여1동,거여
공덕동,공덕
공릉1동,"공릉(서울과학기술대), 태릉입구"
공릉2동,화랑대(서울여대입구)
공항동,"공항시장, 송정"
광장동,광나루(장신대)
광희동,동대문역사문화공원
구로2동,구일
구로3동,"구로디지털단지, 남구로"
구로4동,대림(구로구청)
구로5동,구로
구의1동,구의(광진구청)
구의2동,아차산(어린이대공원후문)
구의3동,강변(동서울터미널)
금호1가동,신금호
금호4가동,금호
길동,길동
길음1동,길음
남가좌1동,가좌
남영동,"남영, 서울역, 숙대입구(갈월)"
내곡동,청계산입구
노량진1동,"노들, 노량진"
녹번동,"녹번, 역촌"
논현1동,"논현, 신사"
논현2동,"강남구청, 선정릉, 학동"
능동,"군자(능동), 어린이대공원(세종대)"
다산동,"약수, 청구"
당산1동,영등포구청
당산2동,당산
대림2동,대림(구로구청)
대방동,"보라매, 신대방삼거리"
대조동,"불광, 연신내"
대치1동,도곡
대치2동,"대치, 삼성, 삼성(무역센터), 학여울"
대학동,관악산(서울대)
대흥동,"대흥(서강대앞), 서강대, 이대"
도곡1동,매봉
도곡2동,"도곡, 한티"
도봉2동,"도봉, 도봉산"
도화동,공덕
둔촌1동,"둔촌동, 둔촌오륜"
둔촌2동,중앙보훈병원
등촌1동,증미
등촌3동,가양
마장동,마장
마천1동,마천
망우본동,"신내, 양원"
면목4동,용마산
면목본동,면목
명동,명동
명일1동,명일
명일2동,고덕
목1동,"목동, 오목교(목동운동장앞)"
목2동,"신목동, 염창"
목3동,등촌
묵2동,먹골
문래동,문래
문정2동,"문정, 복정"
미아동,미아(서울사이버대학)
반포1동,"반포, 사평"
반포2동,신반포
반포4동,고속터미널
반포본동,구반포
발산1동,우장산
방배1동,내방
방배2동,남태령
방배3동,방배
방이1동,방이
방이2동,송파나루
방학1동,방학
방화1동,"마곡나루, 신방화"
방화2동,"개화, 개화산, 김포공항"
방화3동,방화
번1동,수유(강북구청)
보문동,보문
불광1동,독바위
불광2동,연신내
사근동,"용답, 한양대"
사당1동,"사당, 이수"
사당2동,"동작(현충원), 총신대입구(이수)"
사당4동,남성
사직동,"경복궁(정부서울청사), 광화문(세종문화회관)"
삼선동,"성신여대입구(돈암), 한성대입구(삼선교)"
삼성1동,"봉은사, 청담"
삼성2동,"삼성중앙, 선정릉"
삼양동,"삼양, 삼양사거리, 솔샘"
상계1동,수락산
상계2동,노원
상계3·4동,당고개
상계5동,상계
상계6·7동,노원
상계8동,마들
상도1동,"상도, 숭실대입구(살피재)"
상도2동,장승배기
상봉1동,"망우, 상봉(시외버스터미널)"
상봉2동,상봉(시외버스터미널)
상암동,디지털미디어시티
상일1동,상일동
서강동,"광흥창(서강), 상수"
서교동,"망원, 홍대입구"
서림동,서울대벤처타운
서빙고동,서빙고
서원동,"서원, 신림"
서초1동,교대(법원.검찰청)
서초2동,"강남, 양재(서초구청)"
서초3동,"교대(법원.검찰청), 남부터미널(예술의전당), 서초"
석관동,석계
석촌동,"석촌, 석촌고분"
성내1동,강동구청
성내2동,"강동, 천호(풍납토성)"
성산2동,"마포구청, 월드컵경기장(성산)"
성수1가1동,서울숲
성수1가2동,뚝섬
성수2가3동,성수
소공동,"시청, 을지로입구"
송천동,미아사거리
수궁동,온수(성공회대입구)
수색동,"디지털미디어시티, 수색"
수서동,수서
수유1동,화계
수유2동,가오리
숭인1동,동묘앞
시흥1동,금천구청
신길1동,신길
신길6동,"보라매, 신풍"
신길7동,"대방, 서울지방병무청"
신내1동,봉화산(서울의료원)
신당5동,신당
신당동,"신당, 청구"
신대방2동,"보라매공원, 보라매병원"
신도림동,"도림천, 신도림"
신림동,신림
신사1동,응암
신사2동,새절(신사)
신사동,신대방
신정3동,신정네거리
신정4동,신정(은행정)
신정7동,양천구청
신촌동,신촌
아현동,"아현, 애오개"
안암동,안암(고대병원앞)
암사2동,암사
암사3동,암사역사공원
압구정동,"압구정, 압구정로데오"
약수동,"버티고개, 약수"
양재1동,양재(서초구청)
양재2동,양재시민의숲(매헌)
양평1동,양평
양평2동,선유도
여의동,"국회의사당, 샛강, 여의나루, 여의도"
역삼1동,"강남, 선릉, 신논현, 언주, 역삼"
영등포동,"신길, 영등포시장"
영등포본동,영등포
오금동,오금
오류1동,오류동
오류2동,천왕
오륜동,"올림픽공원(한국체대), 한성백제"
옥수동,옥수
왕십리2동,상왕십리
용강동,마포
용답동,"답십리, 신답, 장한평"
용문동,효창공원앞
용산2가동,녹사평(용산구청)
용신동,"신설동, 용두(동대문구청), 제기동"
우이동,"4.19민주묘지, 북한산우이, 솔밭공원"
우장산동,발산
월계2동,월계
월계3동,광운대
월곡2동,"상월곡(한국과학기술연구원), 월곡(동덕여대)"
을지로동,"을지로3가, 을지로4가"
응봉동,응봉
이문1동,외대앞
이문2동,신이문
이태원1동,이태원
이화동,혜화
인헌동,낙성대
일원본동,일원
자양4동,뚝섬유원지
잠실2동,잠실새내
잠실4동,"몽촌토성(평화의문), 잠실나루"
잠실6동,잠실(송파구청)
잠실7동,종합운동장
잠실본동,삼전
잠원동,잠원
장위2동,돌곶이
장지동,장지
장충동,동대입구
전농1동,청량리(서울시립대입구)
정릉1동,정릉
정릉4동,북한산보국문
제기동,고려대(종암)
종로1·2·3·4가동,"안국, 종각, 종로3가"
중계2·3동,중계
중곡3동,중곡
중화2동,"중랑, 중화"
증산동,증산(명지대앞)
진관동,구파발
창1동,"녹천, 쌍문"
창4동,창동
창5동,창동
창신1동,"동대문, 동묘앞"
창신3동,창신
천연동,독립문
천호1동,굽은다리(강동구민회관앞)
청룡동,"봉천, 서울대입구(관악구청)"
충현동,"서대문, 충정로(경기대입구)"
풍납1동,천호(풍납토성)
필동,충무로
하계2동,하계
한강로동,"삼각지, 신용산, 용산, 이촌(국립중앙박물관)"
한남동,"한강진, 한남"
합정동,합정
행당1동,왕십리(성동구청)
행당2동,행당
홍제1동,"무악재, 홍제"
화곡1동,"까치산, 화곡"
화양동,건대입구
회현동,"서울, 서울역, 회현(남대문시장)"
휘경1동,회기
흑석동,흑석(중앙대입구)
