행정동,지하철역,년분기
가락1동,가락시장,20221
가락1동,송파,20221
가락2동,개롱,20221
가락2동,경찰병원,20221
가산동,가산디지털단지,20221
가산동,독산,20221
갈현1동,0,20221
갈현2동,구산,20221
개봉1동,개봉,20221
개포2동,개포동,20221
개포2동,구룡,20221
개포2동,대모산입구,20221
거여1동,거여,20221
공덕동,공덕,20221
공릉1동,공릉(서울과학기술대),20221
공릉1동,태릉입구,20221
공릉2동,화랑대(서울여대입구),20221
공항동,공항시장,20221
공항동,송정,20221
광장동,광나루(장신대),20221
광희동,동대문역사문화공원,20221
구로2동,구일,20221
구로3동,구로디지털단지,20221
구로3동,남구로,20221
구로5동,구로,20221
구의1동,구의(광진구청),20221
구의2동,아차산(어린이대공원후문),20221
구의3동,강변(동서울터미널),20221
금호1가동,신금호,20221
금호4가동,금호,20221
길동,길동,20221
길음1동,길음,20221
남가좌1동,가좌,20221
남영동,남영,20221
남영동,서울역,20221
남영동,숙대입구(갈월),20221
남현동,0,20221
내곡동,청계산입구,20221
노량진1동,노들,20221
노량진1동,노량진,20221
녹번동,녹번,20221
녹번동,역촌,20221
논현1동,논현,20221
논현1동,신사,20221
논현2동,강남구청,20221
논현2동,선정릉,20221
논현2동,학동,20221
능동,군자(능동),20221
능동,어린이대공원(세종대),20221
당산1동,영등포구청,20221
당산2동,당산,20221
대림3동,0,20221
대방동,보라매,20221
대방동,신대방삼거리,20221
대조동,불광,20221
대조동,연신내,20221
대치2동,대치,20221
대치2동,삼성,20221
대치2동,삼성(무역센터),20221
대치2동,학여울,20221
대치4동,0,20221
대흥동,대흥(서강대앞),20221
대흥동,서강대,20221
대흥동,이대,20221
도곡1동,매봉,20221
도곡2동,도곡,20221
도곡2동,한티,20221
도봉2동,도봉,20221
도봉2동,도봉산,20221
독산1동,0,20221
동화동,0,20221
둔촌1동,둔촌동,20221
둔촌1동,둔촌오륜,20221
둔촌2동,중앙보훈병원,20221
등촌1동,증미,20221
등촌3동,가양,20221
마장동,마장,20221
마천1동,마천,20221
망우본동,신내,20221
망우본동,양원,20221
면목3.8동,0,20221
면목4동,용마산,20221
면목본동,면목,20221
명동,명동,20221
명일1동,명일,20221
명일2동,고덕,20221
목1동,목동,20221
목1동,오목교(목동운동장앞),20221
목2동,신목동,20221
목2동,염창,20221
목3동,등촌,20221
묵2동,먹골,20221
문래동,문래,20221
문정2동,문정,20221
문정2동,복정,20221
미아동,미아(서울사이버대학),20221
반포1동,반포,20221
반포1동,사평,20221
반포2동,신반포,20221
반포4동,고속터미널,20221
반포본동,구반포,20221
발산1동,우장산,20221
방배1동,내방,20221
방배2동,남태령,20221
방배3동,방배,20221
방이1동,방이,20221
방이2동,송파나루,20221
방학1동,방학,20221
방화1동,마곡나루,20221
방화1동,신방화,20221
방화2동,개화,20221
방화2동,개화산,20221
방화2동,김포공항,20221
번1동,수유(강북구청),20221
보문동,보문,20221
불광1동,독바위,20221
사근동,용답,20221
사근동,한양대,20221
사당2동,동작(현충원),20221
사당2동,총신대입구(이수),20221
사당4동,남성,20221
사직동,경복궁(정부서울청사),20221
사직동,광화문(세종문화회관),20221
삼선동,성신여대입구(돈암),20221
삼선동,한성대입구(삼선교),20221
삼성1동,봉은사,20221
삼성1동,청담,20221
삼성2동,삼성중앙,20221
삼성2동,선정릉,20221
삼양동,삼양,20221
삼양동,삼양사거리,20221
삼양동,솔샘,20221
상계1동,수락산,20221
상계2동,노원,20221
상계3.4동,0,20221
상계5동,상계,20221
상계8동,마들,20221
상도1동,상도,20221
상도1동,숭실대입구(살피재),20221
상도2동,장승배기,20221
상봉1동,망우,20221
상봉1동,상봉(시외버스터미널),20221
상봉2동,상봉(시외버스터미널),20221
상암동,디지털미디어시티,20221
서강동,광흥창(서강),20221
서강동,상수,20221
서교동,망원,20221
서교동,홍대입구,20221
서빙고동,서빙고,20221
서원동,서원,20221
서원동,신림,20221
서초1동,교대(법원.검찰청),20221
서초2동,강남,20221
서초2동,양재(서초구청),20221
서초3동,교대(법원.검찰청),20221
서초3동,남부터미널(예술의전당),20221
서초3동,서초,20221
석관동,석계,20221
석촌동,석촌,20221
석촌동,석촌고분,20221
성내1동,강동구청,20221
성내2동,강동,20221
성내2동,천호(풍납토성),20221
성산2동,마포구청,20221
성산2동,월드컵경기장(성산),20221
성수1가1동,서울숲,20221
성수1가2동,뚝섬,20221
성수2가3동,성수,20221
소공동,시청,20221
소공동,을지로입구,20221
송천동,미아사거리,20221
송파1동,0,20221
수궁동,온수(성공회대입구),20221
수색동,디지털미디어시티,20221
수색동,수색,20221
수서동,수서,20221
수유1동,화계,20221
수유2동,가오리,20221
숭인2동,0,20221
시흥1동,금천구청,20221
신길1동,신길,20221
신길6동,보라매,20221
신길6동,신풍,20221
신길7동,대방,20221
신길7동,서울지방병무청,20221
신내1동,봉화산(서울의료원),20221
신당동,신당,20221
신당동,청구,20221
신도림동,도림천,20221
신도림동,신도림,20221
신사1동,응암,20221
신사2동,새절(신사),20221
신사동,신대방,20221
신정3동,신정네거리,20221
신정4동,신정(은행정),20221
신정7동,양천구청,20221
신촌동,신촌,20221
아현동,아현,20221
아현동,애오개,20221
안암동,안암(고대병원앞),20221
암사2동,암사,20221
압구정동,압구정,20221
압구정동,압구정로데오,20221
약수동,버티고개,20221
약수동,약수,20221
양재1동,양재(서초구청),20221
양재2동,양재시민의숲(매헌),20221
양평1동,양평,20221
양평2동,선유도,20221
여의동,국회의사당,20221
여의동,샛강,20221
여의동,여의나루,20221
여의동,여의도,20221
역삼1동,강남,20221
역삼1동,선릉,20221
역삼1동,신논현,20221
역삼1동,언주,20221
역삼1동,역삼,20221
영등포동,신길,20221
영등포동,영등포시장,20221
영등포본동,영등포,20221
오금동,오금,20221
오류1동,오류동,20221
오륜동,올림픽공원(한국체대),20221
오륜동,한성백제,20221
옥수동,옥수,20221
왕십리2동,상왕십리,20221
용강동,마포,20221
용답동,답십리,20221
용답동,신답,20221
용답동,장한평,20221
용산2가동,녹사평(용산구청),20221
용신동,신설동,20221
용신동,용두(동대문구청),20221
용신동,제기동,20221
우이동,4.19민주묘지,20221
우이동,북한산우이,20221
우이동,솔밭공원,20221
우장산동,발산,20221
월계2동,월계,20221
월계3동,광운대,20221
월곡2동,상월곡(한국과학기술연구원),20221
월곡2동,월곡(동덕여대),20221
을지로동,을지로3가,20221
을지로동,을지로4가,20221
응봉동,응봉,20221
이문1동,외대앞,20221
이문2동,신이문,20221
이태원1동,이태원,20221
이화동,혜화,20221
인헌동,낙성대,20221
일원본동,일원,20221
자양4동,뚝섬유원지,20221
잠실2동,잠실새내,20221
잠실4동,몽촌토성(평화의문),20221
잠실4동,잠실나루,20221
잠실6동,잠실(송파구청),20221
잠실7동,종합운동장,20221
잠실본동,삼전,20221
잠원동,잠원,20221
장위2동,돌곶이,20221
장지동,장지,20221
장충동,동대입구,20221
전농1동,청량리(서울시립대입구),20221
정릉1동,정릉,20221
정릉4동,북한산보국문,20221
제기동,고려대(종암),20221
종로1.2.3.4가동,0,20221
종로5.6가동,0,20221
중계2.3동,0,20221
중곡3동,중곡,20221
중화2동,중랑,20221
중화2동,중화,20221
증산동,증산(명지대앞),20221
진관동,구파발,20221
창1동,녹천,20221
창1동,쌍문,20221
창5동,창동,20221
창신3동,창신,20221
천연동,독립문,20221
천호1동,굽은다리(강동구민회관앞),20221
청룡동,봉천,20221
청룡동,서울대입구(관악구청),20221
충현동,서대문,20221
충현동,충정로(경기대입구),20221
필동,충무로,20221
하계2동,하계,20221
한강로동,삼각지,20221
한강로동,신용산,20221
한강로동,용산,20221
한강로동,이촌(국립중앙박물관),20221
한남동,한강진,20221
한남동,한남,20221
행당1동,왕십리(성동구청),20221
행당2동,행당,20221
홍제1동,무악재,20221
홍제1동,홍제,20221
화곡1동,까치산,20221
화곡1동,화곡,20221
화양동,건대입구,20221
회현동,서울,20221
회현동,서울역,20221
회현동,회현(남대문시장),20221
효창동,0,20221
휘경1동,회기,20221
흑석동,흑석(중앙대입구),20221
가락1동,가락시장,20222
가락1동,송파,20222
가락2동,개롱,20222
가락2동,경찰병원,20222
가산동,가산디지털단지,20222
가산동,독산,20222
갈현1동,0,20222
갈현2동,구산,20222
개봉1동,개봉,20222
개포2동,개포동,20222
개포2동,구룡,20222
개포2동,대모산입구,20222
거여1동,거여,20222
공덕동,공덕,20222
공릉1동,공릉(서울과학기술대),20222
공릉1동,태릉입구,20222
공릉2동,화랑대(서울여대입구),20222
공항동,공항시장,20222
공항동,송정,20222
광장동,광나루(장신대),20222
광희동,동대문역사문화공원,20222
구로2동,구일,20222
구로3동,구로디지털단지,20222
구로3동,남구로,20222
구로5동,구로,20222
구의1동,구의(광진구청),20222
구의2동,아차산(어린이대공원후문),20222
구의3동,강변(동서울터미널),20222
금호1가동,신금호,20222
금호4가동,금호,20222
길동,길동,20222
길음1동,길음,20222
남가좌1동,가좌,20222
남영동,남영,20222
남영동,서울역,20222
남영동,숙대입구(갈월),20222
남현동,0,20222
내곡동,청계산입구,20222
노량진1동,노들,20222
노량진1동,노량진,20222
녹번동,녹번,20222
녹번동,역촌,20222
논현1동,논현,20222
논현1동,신사,20222
논현2동,강남구청,20222
논현2동,선정릉,20222
논현2동,학동,20222
능동,군자(능동),20222
능동,어린이대공원(세종대),20222
당산1동,영등포구청,20222
당산2동,당산,20222
대림3동,0,20222
대방동,보라매,20222
대방동,신대방삼거리,20222
대조동,불광,20222
대조동,연신내,20222
대치2동,대치,20222
대치2동,삼성,20222
대치2동,삼성(무역센터),20222
대치2동,학여울,20222
대치4동,0,20222
대학동,관악산(서울대),20222
대흥동,대흥(서강대앞),20222
대흥동,서강대,20222
대흥동,이대,20222
도곡1동,매봉,20222
도곡2동,도곡,20222
도곡2동,한티,20222
도봉2동,도봉,20222
도봉2동,도봉산,20222
독산1동,0,20222
동화동,0,20222
둔촌1동,둔촌동,20222
둔촌1동,둔촌오륜,20222
둔촌2동,중앙보훈병원,20222
등촌1동,증미,20222
등촌3동,가양,20222
마장동,마장,20222
마천1동,마천,20222
망우본동,신내,20222
망우본동,양원,20222
면목3.8동,0,20222
면목4동,용마산,20222
면목본동,면목,20222
명동,명동,20222
명일1동,명일,20222
명일2동,고덕,20222
목1동,목동,20222
목1동,오목교(목동운동장앞),20222
목2동,신목동,20222
목2동,염창,20222
목3동,등촌,20222
묵2동,먹골,20222
문래동,문래,20222
문정2동,문정,20222
문정2동,복정,20222
미아동,미아(서울사이버대학),20222
반포1동,반포,20222
반포1동,사평,20222
반포2동,신반포,20222
반포4동,고속터미널,20222
반포본동,구반포,20222
발산1동,우장산,20222
방배1동,내방,20222
방배2동,남태령,20222
방배3동,방배,20222
방이1동,방이,20222
방이2동,송파나루,20222
방학1동,방학,20222
방화1동,마곡나루,20222
방화1동,신방화,20222
방화2동,개화,20222
방화2동,개화산,20222
방화2동,김포공항,20222
번1동,수유(강북구청),20222
보라매동,0,20222
보문동,보문,20222
불광1동,독바위,20222
사근동,용답,20222
사근동,한양대,20222
사당2동,동작(현충원),20222
사당2동,총신대입구(이수),20222
사당4동,남성,20222
사직동,경복궁(정부서울청사),20222
사직동,광화문(세종문화회관),20222
삼선동,성신여대입구(돈암),20222
삼선동,한성대입구(삼선교),20222
삼성1동,봉은사,20222
삼성1동,청담,20222
삼성2동,삼성중앙,20222
삼성2동,선정릉,20222
삼양동,삼양,20222
삼양동,삼양사거리,20222
삼양동,솔샘,20222
상계1동,수락산,20222
상계2동,노원,20222
상계3.4동,0,20222
상계5동,상계,20222
상계8동,마들,20222
상도1동,상도,20222
상도1동,숭실대입구(살피재),20222
상도2동,장승배기,20222
상봉1동,망우,20222
상봉1동,상봉(시외버스터미널),20222
상봉2동,상봉(시외버스터미널),20222
상암동,디지털미디어시티,20222
서강동,광흥창(서강),20222
서강동,상수,20222
서교동,망원,20222
서교동,홍대입구,20222
서림동,서울대벤처타운,20222
서빙고동,서빙고,20222
서원동,서원,20222
서원동,신림,20222
서초1동,교대(법원.검찰청),20222
서초2동,강남,20222
서초2동,양재(서초구청),20222
서초3동,교대(법원.검찰청),20222
서초3동,남부터미널(예술의전당),20222
서초3동,서초,20222
석관동,석계,20222
석촌동,석촌,20222
석촌동,석촌고분,20222
성내1동,강동구청,20222
성내2동,강동,20222
성내2동,천호(풍납토성),20222
성산2동,마포구청,20222
성산2동,월드컵경기장(성산),20222
성수1가1동,서울숲,20222
성수1가2동,뚝섬,20222
성수2가3동,성수,20222
소공동,시청,20222
소공동,을지로입구,20222
송천동,미아사거리,20222
송파1동,0,20222
수궁동,온수(성공회대입구),20222
수색동,디지털미디어시티,20222
수색동,수색,20222
수서동,수서,20222
수유1동,화계,20222
수유2동,가오리,20222
숭인2동,0,20222
시흥1동,금천구청,20222
신길1동,신길,20222
신길6동,보라매,20222
신길6동,신풍,20222
신길7동,대방,20222
신길7동,서울지방병무청,20222
신내1동,봉화산(서울의료원),20222
신당동,신당,20222
신당동,청구,20222
신대방2동,보라매공원,20222
신대방2동,보라매병원,20222
신도림동,도림천,20222
신도림동,신도림,20222
신림동,신림,20222
신사1동,응암,20222
신사2동,새절(신사),20222
신사동,신대방,20222
신정3동,신정네거리,20222
신정4동,신정(은행정),20222
신정7동,양천구청,20222
신촌동,신촌,20222
아현동,아현,20222
아현동,애오개,20222
안암동,안암(고대병원앞),20222
암사2동,암사,20222
압구정동,압구정,20222
압구정동,압구정로데오,20222
약수동,버티고개,20222
약수동,약수,20222
양재1동,양재(서초구청),20222
양재2동,양재시민의숲(매헌),20222
양평1동,양평,20222
양평2동,선유도,20222
여의동,국회의사당,20222
여의동,샛강,20222
여의동,여의나루,20222
여의동,여의도,20222
역삼1동,강남,20222
역삼1동,선릉,20222
역삼1동,신논현,20222
역삼1동,언주,20222
역삼1동,역삼,20222
영등포동,신길,20222
영등포동,영등포시장,20222
영등포본동,영등포,20222
오금동,오금,20222
오류1동,오류동,20222
오륜동,올림픽공원(한국체대),20222
오륜동,한성백제,20222
옥수동,옥수,20222
왕십리2동,상왕십리,20222
용강동,마포,20222
용답동,답십리,20222
용답동,신답,20222
용답동,장한평,20222
용산2가동,녹사평(용산구청),20222
용신동,신설동,20222
용신동,용두(동대문구청),20222
용신동,제기동,20222
우이동,4.19민주묘지,20222
우이동,북한산우이,20222
우이동,솔밭공원,20222
우장산동,발산,20222
월계2동,월계,20222
월계3동,광운대,20222
월곡2동,상월곡(한국과학기술연구원),20222
월곡2동,월곡(동덕여대),20222
을지로동,을지로3가,20222
을지로동,을지로4가,20222
응봉동,응봉,20222
이문1동,외대앞,20222
이문2동,신이문,20222
이태원1동,이태원,20222
이화동,혜화,20222
인헌동,낙성대,20222
일원본동,일원,20222
자양4동,뚝섬유원지,20222
잠실2동,잠실새내,20222
잠실4동,몽촌토성(평화의문),20222
잠실4동,잠실나루,20222
잠실6동,잠실(송파구청),20222
잠실7동,종합운동장,20222
잠실본동,삼전,20222
잠원동,잠원,20222
장위2동,돌곶이,20222
장지동,장지,20222
장충동,동대입구,20222
전농1동,청량리(서울시립대입구),20222
정릉1동,정릉,20222
정릉4동,북한산보국문,20222
제기동,고려대(종암),20222
종로1.2.3.4가동,0,20222
종로5.6가동,0,20222
중계2.3동,0,20222
중곡3동,중곡,20222
중화2동,중랑,20222
중화2동,중화,20222
증산동,증산(명지대앞),20222
진관동,구파발,20222
창1동,녹천,20222
창1동,쌍문,20222
창5동,창동,20222
창신3동,창신,20222
천연동,독립문,20222
천호1동,굽은다리(강동구민회관앞),20222
청룡동,봉천,20222
청룡동,서울대입구(관악구청),20222
충현동,서대문,20222
충현동,충정로(경기대입구),20222
필동,충무로,20222
하계2동,하계,20222
한강로동,삼각지,20222
한강로동,신용산,20222
한강로동,용산,20222
한강로동,이촌(국립중앙박물관),20222
한남동,한강진,20222
한남동,한남,20222
행당1동,왕십리(성동구청),20222
행당2동,행당,20222
홍제1동,무악재,20222
홍제1동,홍제,20222
화곡1동,까치산,20222
화곡1동,화곡,20222
화양동,건대입구,20222
회현동,서울,20222
회현동,서울역,20222
회현동,회현(남대문시장),20222
효창동,0,20222
휘경1동,회기,20222
흑석동,흑석(중앙대입구),20222
가락1동,가락시장,20223
가락1동,송파,20223
가락2동,개롱,20223
가락2동,경찰병원,20223
가산동,가산디지털단지,20223
가산동,독산,20223
갈현1동,0,20223
갈현2동,구산,20223
개봉1동,개봉,20223
개포2동,개포동,20223
개포2동,구룡,20223
개포2동,대모산입구,20223
거여1동,거여,20223
공덕동,공덕,20223
공릉1동,공릉(서울과학기술대),20223
공릉1동,태릉입구,20223
공릉2동,화랑대(서울여대입구),20223
공항동,공항시장,20223
공항동,송정,20223
광장동,광나루(장신대),20223
광희동,동대문역사문화공원,20223
구로2동,구일,20223
구로3동,구로디지털단지,20223
구로3동,남구로,20223
구로5동,구로,20223
구의1동,구의(광진구청),20223
구의2동,아차산(어린이대공원후문),20223
구의3동,강변(동서울터미널),20223
금호1가동,신금호,20223
금호4가동,금호,20223
길동,길동,20223
길음1동,길음,20223
남가좌1동,가좌,20223
남영동,남영,20223
남영동,서울역,20223
남영동,숙대입구(갈월),20223
남현동,0,20223
내곡동,청계산입구,20223
노량진1동,노들,20223
노량진1동,노량진,20223
녹번동,녹번,20223
녹번동,역촌,20223
논현1동,논현,20223
논현1동,신사,20223
논현2동,강남구청,20223
논현2동,선정릉,20223
논현2동,학동,20223
능동,군자(능동),20223
능동,어린이대공원(세종대),20223
당산1동,영등포구청,20223
당산2동,당산,20223
대림3동,0,20223
대방동,보라매,20223
대방동,신대방삼거리,20223
대조동,불광,20223
대조동,연신내,20223
대치2동,대치,20223
대치2동,삼성,20223
대치2동,삼성(무역센터),20223
대치2동,학여울,20223
대치4동,0,20223
대학동,관악산(서울대),20223
대흥동,대흥(서강대앞),20223
대흥동,서강대,20223
대흥동,이대,20223
도곡1동,매봉,20223
도곡2동,도곡,20223
도곡2동,한티,20223
도봉2동,도봉,20223
도봉2동,도봉산,20223
독산1동,0,20223
동화동,0,20223
둔촌1동,둔촌동,20223
둔촌1동,둔촌오륜,20223
둔촌2동,중앙보훈병원,20223
등촌1동,증미,20223
등촌3동,가양,20223
마장동,마장,20223
마천1동,마천,20223
망우본동,신내,20223
망우본동,양원,20223
면목3.8동,0,20223
면목4동,용마산,20223
면목본동,면목,20223
명동,명동,20223
명일1동,명일,20223
명일2동,고덕,20223
목1동,목동,20223
목1동,오목교(목동운동장앞),20223
목2동,신목동,20223
목2동,염창,20223
목3동,등촌,20223
묵2동,먹골,20223
문래동,문래,20223
문정2동,문정,20223
문정2동,복정,20223
미아동,미아(서울사이버대학),20223
반포1동,반포,20223
반포1동,사평,20223
반포2동,신반포,20223
반포4동,고속터미널,20223
반포본동,구반포,20223
발산1동,우장산,20223
방배1동,내방,20223
방배2동,남태령,20223
방배3동,방배,20223
방이1동,방이,20223
방이2동,송파나루,20223
방학1동,방학,20223
방화1동,마곡나루,20223
방화1동,신방화,20223
방화2동,개화,20223
방화2동,개화산,20223
방화2동,김포공항,20223
번1동,수유(강북구청),20223
보라매동,0,20223
보문동,보문,20223
불광1동,독바위,20223
사근동,용답,20223
사근동,한양대,20223
사당2동,동작(현충원),20223
사당2동,총신대입구(이수),20223
사당4동,남성,20223
사직동,경복궁(정부서울청사),20223
사직동,광화문(세종문화회관),20223
삼선동,성신여대입구(돈암),20223
삼선동,한성대입구(삼선교),20223
삼성1동,봉은사,20223
삼성1동,청담,20223
삼성2동,삼성중앙,20223
삼성2동,선정릉,20223
삼양동,삼양,20223
삼양동,삼양사거리,20223
삼양동,솔샘,20223
상계1동,수락산,20223
상계2동,노원,20223
상계3.4동,0,20223
상계5동,상계,20223
상계8동,마들,20223
상도1동,상도,20223
상도1동,숭실대입구(살피재),20223
상도2동,장승배기,20223
상봉1동,망우,20223
상봉1동,상봉(시외버스터미널),20223
상봉2동,상봉(시외버스터미널),20223
상암동,디지털미디어시티,20223
서강동,광흥창(서강),20223
서강동,상수,20223
서교동,망원,20223
서교동,홍대입구,20223
서림동,서울대벤처타운,20223
서빙고동,서빙고,20223
서원동,서원,20223
서원동,신림,20223
서초1동,교대(법원.검찰청),20223
서초2동,강남,20223
서초2동,양재(서초구청),20223
서초3동,교대(법원.검찰청),20223
서초3동,남부터미널(예술의전당),20223
서초3동,서초,20223
석관동,석계,20223
석촌동,석촌,20223
석촌동,석촌고분,20223
성내1동,강동구청,20223
성내2동,강동,20223
성내2동,천호(풍납토성),20223
성산2동,마포구청,20223
성산2동,월드컵경기장(성산),20223
성수1가1동,서울숲,20223
성수1가2동,뚝섬,20223
성수2가3동,성수,20223
소공동,시청,20223
소공동,을지로입구,20223
송천동,미아사거리,20223
송파1동,0,20223
수궁동,온수(성공회대입구),20223
수색동,디지털미디어시티,20223
수색동,수색,20223
수서동,수서,20223
수유1동,화계,20223
수유2동,가오리,20223
숭인2동,0,20223
시흥1동,금천구청,20223
신길1동,신길,20223
신길6동,보라매,20223
신길6동,신풍,20223
신길7동,대방,20223
신길7동,서울지방병무청,20223
신내1동,봉화산(서울의료원),20223
신당동,신당,20223
신당동,청구,20223
신대방2동,보라매공원,20223
신대방2동,보라매병원,20223
신도림동,도림천,20223
신도림동,신도림,20223
신림동,신림,20223
신사1동,응암,20223
신사2동,새절(신사),20223
신사동,신대방,20223
신정3동,신정네거리,20223
신정4동,신정(은행정),20223
신정7동,양천구청,20223
신촌동,신촌,20223
아현동,아현,20223
아현동,애오개,20223
안암동,안암(고대병원앞),20223
암사2동,암사,20223
압구정동,압구정,20223
압구정동,압구정로데오,20223
약수동,버티고개,20223
약수동,약수,20223
양재1동,양재(서초구청),20223
양재2동,양재시민의숲(매헌),20223
양평1동,양평,20223
양평2동,선유도,20223
여의동,국회의사당,20223
여의동,샛강,20223
여의동,여의나루,20223
여의동,여의도,20223
역삼1동,강남,20223
역삼1동,선릉,20223
역삼1동,신논현,20223
역삼1동,언주,20223
역삼1동,역삼,20223
영등포동,신길,20223
영등포동,영등포시장,20223
영등포본동,영등포,20223
오금동,오금,20223
오류1동,오류동,20223
오륜동,올림픽공원(한국체대),20223
오륜동,한성백제,20223
옥수동,옥수,20223
왕십리2동,상왕십리,20223
용강동,마포,20223
용답동,답십리,20223
용답동,신답,20223
용답동,장한평,20223
용산2가동,녹사평(용산구청),20223
용신동,신설동,20223
용신동,용두(동대문구청),20223
용신동,제기동,20223
우이동,4.19민주묘지,20223
우이동,북한산우이,20223
우이동,솔밭공원,20223
우장산동,발산,20223
월계2동,월계,20223
월계3동,광운대,20223
월곡2동,상월곡(한국과학기술연구원),20223
월곡2동,월곡(동덕여대),20223
을지로동,을지로3가,20223
을지로동,을지로4가,20223
응봉동,응봉,20223
이문1동,외대앞,20223
이문2동,신이문,20223
이태원1동,이태원,20223
이화동,혜화,20223
인헌동,낙성대,20223
일원본동,일원,20223
자양4동,뚝섬유원지,20223
잠실2동,잠실새내,20223
잠실4동,몽촌토성(평화의문),20223
잠실4동,잠실나루,20223
잠실6동,잠실(송파구청),20223
잠실7동,종합운동장,20223
잠실본동,삼전,20223
잠원동,잠원,20223
장위2동,돌곶이,20223
장지동,장지,20223
장충동,동대입구,20223
전농1동,청량리(서울시립대입구),20223
정릉1동,정릉,20223
정릉4동,북한산보국문,20223
제기동,고려대(종암),20223
종로1.2.3.4가동,0,20223
종로5.6가동,0,20223
중계2.3동,0,20223
중곡3동,중곡,20223
중화2동,중랑,20223
중화2동,중화,20223
증산동,증산(명지대앞),20223
진관동,구파발,20223
창1동,녹천,20223
창1동,쌍문,20223
창5동,창동,20223
창신3동,창신,20223
천연동,독립문,20223
천호1동,굽은다리(강동구민회관앞),20223
청룡동,봉천,20223
청룡동,서울대입구(관악구청),20223
충현동,서대문,20223
충현동,충정로(경기대입구),20223
필동,충무로,20223
하계2동,하계,20223
한강로동,삼각지,20223
한강로동,신용산,20223
한강로동,용산,20223
한강로동,이촌(국립중앙박물관),20223
한남동,한강진,20223
한남동,한남,20223
행당1동,왕십리(성동구청),20223
행당2동,행당,20223
홍제1동,무악재,20223
홍제1동,홍제,20223
화곡1동,까치산,20223
화곡1동,화곡,20223
화양동,건대입구,20223
회현동,서울,20223
회현동,서울역,20223
회현동,회현(남대문시장),20223
효창동,0,20223
휘경1동,회기,20223
흑석동,흑석(중앙대입구),20223
가락1동,가락시장,20224
가락1동,송파,20224
가락2동,개롱,20224
가락2동,경찰병원,20224
가산동,가산디지털단지,20224
가산동,독산,20224
갈현1동,0,20224
갈현2동,구산,20224
개봉1동,개봉,20224
개포2동,개포동,20224
개포2동,구룡,20224
개포2동,대모산입구,20224
거여1동,거여,20224
공덕동,공덕,20224
공릉1동,공릉(서울과학기술대),20224
공릉1동,태릉입구,20224
공릉2동,화랑대(서울여대입구),20224
공항동,공항시장,20224
공항동,송정,20224
광장동,광나루(장신대),20224
광희동,동대문역사문화공원,20224
구로2동,구일,20224
구로3동,구로디지털단지,20224
구로3동,남구로,20224
구로5동,구로,20224
구의1동,구의(광진구청),20224
구의2동,아차산(어린이대공원후문),20224
구의3동,강변(동서울터미널),20224
